tensor_id,tensor_name,tensor_type,size_KB,module_path,event_type,t_start_us,t_end_us,src_name,dest_name
1152,param_3387_3388,WEIGHT,32768.000,model.layers.11.self_attn.q_proj,TRANSFER,523720.501,525031.541,ram,vram0
1152,param_3387_3388,WEIGHT,32768.000,model.layers.11.self_attn.q_proj,TRANSFER,523720.501,525031.541,ram,vram0
1159,param_3407_3408,WEIGHT,8192.000,model.layers.11.self_attn.k_proj,TRANSFER,525093.665,525421.345,ram,vram0
1159,param_3407_3408,WEIGHT,8192.000,model.layers.11.self_attn.k_proj,TRANSFER,525093.665,525421.345,ram,vram0
1166,param_3427_3428,WEIGHT,8192.000,model.layers.11.self_attn.v_proj,TRANSFER,525448.537,525776.217,ram,vram0
1166,param_3427_3428,WEIGHT,8192.000,model.layers.11.self_attn.v_proj,TRANSFER,525448.537,525776.217,ram,vram0
1210,param_3556_3557,WEIGHT,32768.000,model.layers.11.self_attn.o_proj,TRANSFER,526101.917,527412.637,ram,vram0
1210,param_3556_3557,WEIGHT,32768.000,model.layers.11.self_attn.o_proj,TRANSFER,526101.917,527412.637,ram,vram0
1218,param_3583_3584,WEIGHT,4.000,model.layers.11.post_attention_layernorm,TRANSFER,527512.753,527513.073,ram,vram0
1218,param_3583_3584,WEIGHT,4.000,model.layers.11.post_attention_layernorm,TRANSFER,527512.753,527513.073,ram,vram0
1218,param_3583_3584,WEIGHT,4.000,model.layers.11.post_attention_layernorm,TRANSFER,527512.753,527513.073,ram,vram0
1218,param_3583_3584,WEIGHT,4.000,model.layers.11.post_attention_layernorm,TRANSFER,527512.753,527513.073,ram,vram0
1223,param_3596_3597,WEIGHT,8.000,model.layers.11.post_attention_layernorm,TRANSFER,527537.209,527537.849,ram,vram0
1223,param_3596_3597,WEIGHT,8.000,model.layers.11.post_attention_layernorm,TRANSFER,527537.209,527537.849,ram,vram0
1225,param_3600_3601,WEIGHT,114688.000,model.layers.11.mlp.gate_proj,TRANSFER,527537.209,532125.049,ram,vram0
1225,param_3600_3601,WEIGHT,114688.000,model.layers.11.mlp.gate_proj,TRANSFER,527537.209,532125.049,ram,vram0
1231,param_3618_3619,WEIGHT,114688.000,model.layers.11.mlp.up_proj,TRANSFER,532260.288,536847.808,ram,vram0
1231,param_3618_3619,WEIGHT,114688.000,model.layers.11.mlp.up_proj,TRANSFER,532260.288,536847.808,ram,vram0
1237,param_3636_3637,WEIGHT,114688.000,model.layers.11.mlp.down_proj,TRANSFER,536981.183,541568.703,ram,vram0
1237,param_3636_3637,WEIGHT,114688.000,model.layers.11.mlp.down_proj,TRANSFER,536981.183,541568.703,ram,vram0
1246,param_3664_3665,WEIGHT,4.000,model.layers.12.input_layernorm,TRANSFER,541744.745,541744.905,ram,vram0
1246,param_3664_3665,WEIGHT,4.000,model.layers.12.input_layernorm,TRANSFER,541744.745,541744.905,ram,vram0
1251,param_3677_3678,WEIGHT,8.000,model.layers.12.input_layernorm,TRANSFER,541778.115,541778.755,ram,vram0
1251,param_3677_3678,WEIGHT,8.000,model.layers.12.input_layernorm,TRANSFER,541778.115,541778.755,ram,vram0
1253,param_3681_3682,WEIGHT,32768.000,model.layers.12.self_attn.q_proj,TRANSFER,541778.115,543089.155,ram,vram0
1253,param_3681_3682,WEIGHT,32768.000,model.layers.12.self_attn.q_proj,TRANSFER,541778.115,543089.155,ram,vram0
1260,param_3701_3702,WEIGHT,8192.000,model.layers.12.self_attn.k_proj,TRANSFER,543146.642,543474.322,ram,vram0
1260,param_3701_3702,WEIGHT,8192.000,model.layers.12.self_attn.k_proj,TRANSFER,543146.642,543474.322,ram,vram0
1267,param_3721_3722,WEIGHT,8192.000,model.layers.12.self_attn.v_proj,TRANSFER,543502.944,543830.624,ram,vram0
1267,param_3721_3722,WEIGHT,8192.000,model.layers.12.self_attn.v_proj,TRANSFER,543502.944,543830.624,ram,vram0
1311,param_3848_3849,WEIGHT,32768.000,model.layers.12.self_attn.o_proj,TRANSFER,544155.552,545466.272,ram,vram0
1311,param_3848_3849,WEIGHT,32768.000,model.layers.12.self_attn.o_proj,TRANSFER,544155.552,545466.272,ram,vram0
1319,param_3875_3876,WEIGHT,4.000,model.layers.12.post_attention_layernorm,TRANSFER,545555.186,545555.346,ram,vram0
1319,param_3875_3876,WEIGHT,4.000,model.layers.12.post_attention_layernorm,TRANSFER,545555.186,545555.346,ram,vram0
1324,param_3888_3889,WEIGHT,8.000,model.layers.12.post_attention_layernorm,TRANSFER,545589.693,545590.333,ram,vram0
1324,param_3888_3889,WEIGHT,8.000,model.layers.12.post_attention_layernorm,TRANSFER,545589.693,545590.333,ram,vram0
1326,param_3892_3893,WEIGHT,114688.000,model.layers.12.mlp.gate_proj,TRANSFER,545589.693,550177.533,ram,vram0
1326,param_3892_3893,WEIGHT,114688.000,model.layers.12.mlp.gate_proj,TRANSFER,545589.693,550177.533,ram,vram0
1332,param_3909_3910,WEIGHT,114688.000,model.layers.12.mlp.up_proj,TRANSFER,550318.292,554905.812,ram,vram0
1332,param_3909_3910,WEIGHT,114688.000,model.layers.12.mlp.up_proj,TRANSFER,550318.292,554905.812,ram,vram0
1338,param_3926_3927,WEIGHT,114688.000,model.layers.12.mlp.down_proj,TRANSFER,555039.461,559626.981,ram,vram0
1338,param_3926_3927,WEIGHT,114688.000,model.layers.12.mlp.down_proj,TRANSFER,555039.461,559626.981,ram,vram0
1347,param_3954_3955,WEIGHT,4.000,model.layers.13.input_layernorm,TRANSFER,559817.298,559817.458,ram,vram0
1347,param_3954_3955,WEIGHT,4.000,model.layers.13.input_layernorm,TRANSFER,559817.298,559817.458,ram,vram0
1352,param_3967_3968,WEIGHT,8.000,model.layers.13.input_layernorm,TRANSFER,559840.182,559840.822,ram,vram0
1352,param_3967_3968,WEIGHT,8.000,model.layers.13.input_layernorm,TRANSFER,559840.182,559840.822,ram,vram0
1354,param_3971_3972,WEIGHT,32768.000,model.layers.13.self_attn.q_proj,TRANSFER,559840.182,561151.222,ram,vram0
1354,param_3971_3972,WEIGHT,32768.000,model.layers.13.self_attn.q_proj,TRANSFER,559840.182,561151.222,ram,vram0
1361,param_3991_3992,WEIGHT,8192.000,model.layers.13.self_attn.k_proj,TRANSFER,561204.612,561532.292,ram,vram0
1361,param_3991_3992,WEIGHT,8192.000,model.layers.13.self_attn.k_proj,TRANSFER,561204.612,561532.292,ram,vram0
1368,param_4011_4012,WEIGHT,8192.000,model.layers.13.self_attn.v_proj,TRANSFER,561568.750,561896.430,ram,vram0
1368,param_4011_4012,WEIGHT,8192.000,model.layers.13.self_attn.v_proj,TRANSFER,561568.750,561896.430,ram,vram0
1412,param_4139_4140,WEIGHT,32768.000,model.layers.13.self_attn.o_proj,TRANSFER,562222.925,563533.645,ram,vram0
1412,param_4139_4140,WEIGHT,32768.000,model.layers.13.self_attn.o_proj,TRANSFER,562222.925,563533.645,ram,vram0
1420,param_4166_4167,WEIGHT,4.000,model.layers.13.post_attention_layernorm,TRANSFER,563640.855,563641.175,ram,vram0
1420,param_4166_4167,WEIGHT,4.000,model.layers.13.post_attention_layernorm,TRANSFER,563640.855,563641.175,ram,vram0
1420,param_4166_4167,WEIGHT,4.000,model.layers.13.post_attention_layernorm,TRANSFER,563640.855,563641.175,ram,vram0
1420,param_4166_4167,WEIGHT,4.000,model.layers.13.post_attention_layernorm,TRANSFER,563640.855,563641.175,ram,vram0
1425,param_4179_4180,WEIGHT,8.000,model.layers.13.post_attention_layernorm,TRANSFER,563669.258,563669.898,ram,vram0
1425,param_4179_4180,WEIGHT,8.000,model.layers.13.post_attention_layernorm,TRANSFER,563669.258,563669.898,ram,vram0
1427,param_4183_4184,WEIGHT,114688.000,model.layers.13.mlp.gate_proj,TRANSFER,563669.258,568257.098,ram,vram0
1427,param_4183_4184,WEIGHT,114688.000,model.layers.13.mlp.gate_proj,TRANSFER,563669.258,568257.098,ram,vram0
1433,param_4200_4201,WEIGHT,114688.000,model.layers.13.mlp.up_proj,TRANSFER,568392.962,572980.482,ram,vram0
1433,param_4200_4201,WEIGHT,114688.000,model.layers.13.mlp.up_proj,TRANSFER,568392.962,572980.482,ram,vram0
1439,param_4218_4219,WEIGHT,114688.000,model.layers.13.mlp.down_proj,TRANSFER,573113.706,577701.226,ram,vram0
1439,param_4218_4219,WEIGHT,114688.000,model.layers.13.mlp.down_proj,TRANSFER,573113.706,577701.226,ram,vram0
1448,param_4246_4247,WEIGHT,4.000,model.layers.14.input_layernorm,TRANSFER,577880.744,577880.904,ram,vram0
1448,param_4246_4247,WEIGHT,4.000,model.layers.14.input_layernorm,TRANSFER,577880.744,577880.904,ram,vram0
1453,param_4259_4260,WEIGHT,8.000,model.layers.14.input_layernorm,TRANSFER,577903.248,577903.888,ram,vram0
1453,param_4259_4260,WEIGHT,8.000,model.layers.14.input_layernorm,TRANSFER,577903.248,577903.888,ram,vram0
1455,param_4263_4264,WEIGHT,32768.000,model.layers.14.self_attn.q_proj,TRANSFER,577903.248,579214.288,ram,vram0
1455,param_4263_4264,WEIGHT,32768.000,model.layers.14.self_attn.q_proj,TRANSFER,577903.248,579214.288,ram,vram0
1462,param_4283_4284,WEIGHT,8192.000,model.layers.14.self_attn.k_proj,TRANSFER,579282.441,579610.121,ram,vram0
1462,param_4283_4284,WEIGHT,8192.000,model.layers.14.self_attn.k_proj,TRANSFER,579282.441,579610.121,ram,vram0
1469,param_4303_4304,WEIGHT,8192.000,model.layers.14.self_attn.v_proj,TRANSFER,579654.525,579982.205,ram,vram0
1469,param_4303_4304,WEIGHT,8192.000,model.layers.14.self_attn.v_proj,TRANSFER,579654.525,579982.205,ram,vram0
1513,param_4432_4433,WEIGHT,32768.000,model.layers.14.self_attn.o_proj,TRANSFER,580335.291,581646.011,ram,vram0
1513,param_4432_4433,WEIGHT,32768.000,model.layers.14.self_attn.o_proj,TRANSFER,580335.291,581646.011,ram,vram0
1521,param_4459_4460,WEIGHT,4.000,model.layers.14.post_attention_layernorm,TRANSFER,581741.287,581741.447,ram,vram0
1521,param_4459_4460,WEIGHT,4.000,model.layers.14.post_attention_layernorm,TRANSFER,581741.287,581741.447,ram,vram0
1526,param_4472_4473,WEIGHT,8.000,model.layers.14.post_attention_layernorm,TRANSFER,581766.006,581766.646,ram,vram0
1526,param_4472_4473,WEIGHT,8.000,model.layers.14.post_attention_layernorm,TRANSFER,581766.006,581766.646,ram,vram0
1528,param_4476_4477,WEIGHT,114688.000,model.layers.14.mlp.gate_proj,TRANSFER,581766.006,586353.846,ram,vram0
1528,param_4476_4477,WEIGHT,114688.000,model.layers.14.mlp.gate_proj,TRANSFER,581766.006,586353.846,ram,vram0
1534,param_4494_4495,WEIGHT,114688.000,model.layers.14.mlp.up_proj,TRANSFER,586491.003,591078.523,ram,vram0
1534,param_4494_4495,WEIGHT,114688.000,model.layers.14.mlp.up_proj,TRANSFER,586491.003,591078.523,ram,vram0
1540,param_4512_4513,WEIGHT,114688.000,model.layers.14.mlp.down_proj,TRANSFER,591211.250,595798.770,ram,vram0
1540,param_4512_4513,WEIGHT,114688.000,model.layers.14.mlp.down_proj,TRANSFER,591211.250,595798.770,ram,vram0
1549,param_4540_4541,WEIGHT,4.000,model.layers.15.input_layernorm,TRANSFER,595975.700,595976.020,ram,vram0
1549,param_4540_4541,WEIGHT,4.000,model.layers.15.input_layernorm,TRANSFER,595975.700,595976.020,ram,vram0
