tensor_id,tensor_name,tensor_type,size_KB,module_path,event_type,t_start_us,t_end_us,src_name,dest_name
1873,param_5473_5474,WEIGHT,8192.000,model.layers.18.self_attn.v_proj,TRANSFER,651372.001,651699.681,ram,vram0
1873,param_5473_5474,WEIGHT,8192.000,model.layers.18.self_attn.v_proj,TRANSFER,651372.001,651699.681,ram,vram0
1917,param_5600_5601,WEIGHT,32768.000,model.layers.18.self_attn.o_proj,TRANSFER,652014.268,653324.988,ram,vram0
1917,param_5600_5601,WEIGHT,32768.000,model.layers.18.self_attn.o_proj,TRANSFER,652014.268,653324.988,ram,vram0
1925,param_5627_5628,WEIGHT,4.000,model.layers.18.post_attention_layernorm,TRANSFER,653440.130,653440.290,ram,vram0
1925,param_5627_5628,WEIGHT,4.000,model.layers.18.post_attention_layernorm,TRANSFER,653440.130,653440.290,ram,vram0
1930,param_5640_5641,WEIGHT,8.000,model.layers.18.post_attention_layernorm,TRANSFER,653463.964,653464.604,ram,vram0
1930,param_5640_5641,WEIGHT,8.000,model.layers.18.post_attention_layernorm,TRANSFER,653463.964,653464.604,ram,vram0
1932,param_5644_5645,WEIGHT,114688.000,model.layers.18.mlp.gate_proj,TRANSFER,653463.964,658051.804,ram,vram0
1932,param_5644_5645,WEIGHT,114688.000,model.layers.18.mlp.gate_proj,TRANSFER,653463.964,658051.804,ram,vram0
1938,param_5661_5662,WEIGHT,114688.000,model.layers.18.mlp.up_proj,TRANSFER,658186.289,662773.809,ram,vram0
1938,param_5661_5662,WEIGHT,114688.000,model.layers.18.mlp.up_proj,TRANSFER,658186.289,662773.809,ram,vram0
1944,param_5678_5679,WEIGHT,114688.000,model.layers.18.mlp.down_proj,TRANSFER,662777.826,667365.346,ram,vram0
1944,param_5678_5679,WEIGHT,114688.000,model.layers.18.mlp.down_proj,TRANSFER,662777.826,667365.346,ram,vram0
1953,param_5706_5707,WEIGHT,4.000,model.layers.19.input_layernorm,TRANSFER,667555.040,667555.200,ram,vram0
1953,param_5706_5707,WEIGHT,4.000,model.layers.19.input_layernorm,TRANSFER,667555.040,667555.200,ram,vram0
1958,param_5719_5720,WEIGHT,8.000,model.layers.19.input_layernorm,TRANSFER,667578.875,667579.515,ram,vram0
1958,param_5719_5720,WEIGHT,8.000,model.layers.19.input_layernorm,TRANSFER,667578.875,667579.515,ram,vram0
