op_name,probe_effect_ns,trace_median_ns,occurrences,microbench_probed_ns,note
aten::view,3965,5290,85,1325,"trace_median - microbench_probed_ns (RTX4090, kineto record_shapes=True)"
aten::as_strided,4027,5550,3708,1523,"trace_median - microbench_probed_ns (RTX4090, kineto record_shapes=True)"
aten::_unsafe_view,0,0,0,2080,op absent in this trace
aten::empty,4628,7584,3541,2956,"trace_median - microbench_probed_ns (RTX4090, kineto record_shapes=True)"
aten::empty_strided,7377,10340,805,2963,"trace_median - microbench_probed_ns (RTX4090, kineto record_shapes=True)"
aten::to,6380,7058,34,679,"trace_median - microbench_probed_ns (RTX4090, kineto record_shapes=True)"
