event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
12893,43235,triton_red_fused_add_div_native_layer_norm_view_71,,triton_red_fused_add_div_native_layer_norm_view_71,1931921.964,1931928.493,6.5290000000968575,0,0,6.5290000000968575,6.5290000000968575,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12894,6141,ws_launch:3:1054,,ws_launch:3:1054,1931921.964,1931928.493,6.5290000000968575,0,0,6.5290000000968575,6.5290000000968575,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12895,6143,ws_launch:3:1055,,ws_launch:3:1055,1933036.249,1934646.727,1610.4779999998864,1502.3279999999795,1610.4779999998864,0.0,106.20799999986775,1,0,CPU,4140351,4140351,-1,-1,7,3,1818,1,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12896,6144,aten::addmm,,aten::addmm,1934149.587,1934257.737,108.14999999990687,93.59000000008382,108.14999999990687,106.20799999986775,106.20799999986775,1,0,CPU,4140351,4140351,-1,-1,0,4,6143,3,1,"[""void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params)""]",[106.20799999986775],False,False,False,False,0,0,0,0,0,"[[10240],[256,1280],[1280,10240],[],[],[256,10240]]","[null,null,null,1,1,null]",{},[],
12897,43267,cudaDeviceGetAttribute,,cudaDeviceGetAttribute,1934193.087,1934193.987,0.8999999999068677,0.8999999999068677,0.8999999999068677,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6144,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12898,43270,cudaMemsetAsync,,cudaMemsetAsync,1934196.907,1934197.427,0.5200000000186265,0.5200000000186265,0.5200000000186265,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6144,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12899,43271,cuLaunchKernel,,cuLaunchKernel,1934197.887,1934211.027,13.139999999897555,13.139999999897555,13.139999999897555,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6144,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12900,43271,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params),,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params),1934210.715,1934316.923,106.20799999986775,0,0,106.20799999986775,106.20799999986775,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12901,6143,ws_launch:3:1055,,ws_launch:3:1055,1934210.715,1934316.923,106.20799999986775,0,0,106.20799999986775,106.20799999986775,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12902,6145,ws_launch:3:1056,,ws_launch:3:1056,1935426.976,1936632.545,1205.5689999999013,1152.4290000000037,1205.5689999999013,0.0,7.743999999947846,1,0,CPU,4140351,4140351,-1,-1,7,3,1818,1,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12903,6146,triton_poi_fused_gelu_mul_split_view_60,,triton_poi_fused_gelu_mul_split_view_60,1936198.965,1936252.105,53.139999999897555,38.52999999979511,53.139999999897555,7.743999999947846,7.743999999947846,1,0,CPU,4140351,4140351,-1,-1,0,4,6145,1,1,"[""triton_poi_fused_gelu_mul_split_view_60""]",[7.743999999947846],False,False,False,False,0,0,0,0,0,"[[256,10240],[1,256,5120],[]]","[null,null,1310720]","{""kernel_backend"":""triton"",""kernel_file"":""/tmp/torchinductor_kwpark/ic/cic3qih7r2i4iwbxaz5ukka3r7wnbhau5ynyqpyit25b5n5srh6t.py"",""kernel_hash"":""cic3qih7r2i4iwbxaz5ukka3r7wnbhau5ynyqpyit25b5n5srh6t"",""kernel_kwargs"":""XBLOCK=1024"",""kernel_name"":""triton_poi_fused_gelu_mul_split_view_60"",""num_stages"":1,""num_warps"":4,""stream"":0}",[],
12904,43277,cuLaunchKernel,,cuLaunchKernel,1936224.325,1936238.935,14.610000000102445,14.610000000102445,14.610000000102445,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6146,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12905,43277,triton_poi_fused_gelu_mul_split_view_60,,triton_poi_fused_gelu_mul_split_view_60,1936238.663,1936246.407,7.743999999947846,0,0,7.743999999947846,7.743999999947846,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12906,6145,ws_launch:3:1056,,ws_launch:3:1056,1936238.663,1936246.407,7.743999999947846,0,0,7.743999999947846,7.743999999947846,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12907,6147,ws_launch:3:1057,,ws_launch:3:1057,1937704.464,1939267.702,1563.2380000001285,1461.2380000001285,1563.2380000001285,0.0,73.24800000013784,1,0,CPU,4140351,4140351,-1,-1,7,3,1818,1,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12908,6148,aten::addmm,,aten::addmm,1938797.312,1938899.312,102.0,79.61000000010245,102.0,73.24800000013784,73.24800000013784,1,0,CPU,4140351,4140351,-1,-1,0,4,6147,3,2,"[""void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params)"",""void cublasLt::splitKreduce_kernel<32, 16, int, __half, __half, float, __half, true, true, false>(cublasLt::cublasSplitKParams<float>, __half const*, __half const*, __half*, float const*, float const*, __half const*, __half const*, __half*, void*, long, float*, int*)""]","[65.60000000009313,7.6480000000447035]",False,False,False,False,0,0,0,0,0,"[[1280],[256,5120],[5120,1280],[],[],[256,1280]]","[null,null,null,1,1,null]",{},[],
12909,43309,cudaDeviceGetAttribute,,cudaDeviceGetAttribute,1938842.012,1938842.863,0.8509999997913837,0.8509999997913837,0.8509999997913837,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6148,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
